Role,Title,Company,Location,Date Posted
Business Analyst,Global Senior Business Analyst,Worldpanel by Kantar,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,ThoughtFocus,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,PRIMUS Techsystems Private Limited,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Business Analyst [T500-13746],Talent500,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Alpha Consultants,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Senior Business Analyst,Synechron,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst [T500-14465],Talent500,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Functional CRM/ Business Analyst,LTIMindtree,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Guest Support [T500-14443],lululemon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Senior Business Analyst,Gameskraft,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Dataquad Inc.,"Bengaluru North, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Calyspo,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Deloitte,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Tech Mahindra,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Navi,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Livspace,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Urban Ladder,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,"Business Operations Analyst, Payments",PhonePe,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Capco,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst [T500-13997],lululemon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Magicbricks,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst,Jar,"Bengaluru, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Operations Analyst,Amazon,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Staff Infrastructure Business Operations Analyst,LinkedIn,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Kantar,"Bengaluru East, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst I,Amazon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Grizmo Labs 🌐,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Dover India,"Bengaluru, Karnataka, India",4 weeks ago
Business Analyst,"Business Analyst, Amazon Pay",Amazon,"Bengaluru East, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Publicis Re:Sources,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst,FRND,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Trelleborg Group,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Senior Business Analyst,ETG,"Bangalore Urban district, India",3 weeks ago
Business Analyst,Business Analyst,Masai,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,More Retail Private Limited,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Senior Business Analyst,Flipkart,"Bengaluru, Karnataka, India",3 days ago
Business Analyst,Business Analyst,Virtusa,"Bangalore Urban, Karnataka, India",4 days ago
Business Analyst,"Business Analyst, Platform Operations",Deluxe,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst - RPA,AXA,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Finkraft,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,"Business Analyst, Amazon Pay",Amazon,"Bengaluru, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Amazon,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Infosys,"Bengaluru East, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Travelopia,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Lemnisk,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst [T500-14502],MUFG,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst [T500-13746],MUFG,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,EY,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,"Senior Business Analyst, Scaled Analytics",Google,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Global Senior Business Analyst,Worldpanel by Kantar,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,ThoughtFocus,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,PRIMUS Techsystems Private Limited,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Business Analyst [T500-13746],Talent500,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Alpha Consultants,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Senior Business Analyst,Synechron,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst [T500-14465],Talent500,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Functional CRM/ Business Analyst,LTIMindtree,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Guest Support [T500-14443],lululemon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Senior Business Analyst,Gameskraft,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Dataquad Inc.,"Bengaluru North, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Calyspo,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Deloitte,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Tech Mahindra,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Navi,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Livspace,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Urban Ladder,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,"Business Operations Analyst, Payments",PhonePe,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Capco,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst [T500-13997],lululemon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Magicbricks,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Business Analyst,Jar,"Bengaluru, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Operations Analyst,Amazon,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Staff Infrastructure Business Operations Analyst,LinkedIn,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Kantar,"Bengaluru East, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst I,Amazon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Grizmo Labs 🌐,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Dover India,"Bengaluru, Karnataka, India",4 weeks ago
Business Analyst,"Business Analyst, Amazon Pay",Amazon,"Bengaluru East, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Publicis Re:Sources,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst,FRND,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Trelleborg Group,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Senior Business Analyst,ETG,"Bangalore Urban district, India",3 weeks ago
Business Analyst,Business Analyst,Masai,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,More Retail Private Limited,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Senior Business Analyst,Flipkart,"Bengaluru, Karnataka, India",3 days ago
Business Analyst,Business Analyst,Virtusa,"Bangalore Urban, Karnataka, India",4 days ago
Business Analyst,"Business Analyst, Platform Operations",Deluxe,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst - RPA,AXA,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Finkraft,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,"Business Analyst, Amazon Pay",Amazon,"Bengaluru, Karnataka, India",5 days ago
Business Analyst,Business Analyst,Amazon,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Infosys,"Bengaluru East, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Travelopia,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Lemnisk,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst [T500-14502],MUFG,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst [T500-13746],MUFG,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,EY,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,"Senior Business Analyst, Scaled Analytics",Google,"Bengaluru, Karnataka, India",4 days ago
Business Analyst,Global Senior Business Analyst,Worldpanel by Kantar,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,ThoughtFocus,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Business Analyst,PRIMUS Techsystems Private Limited,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Business Analyst [T500-13746],Talent500,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Alpha Consultants,"Bagalur, Karnataka, India",5 days ago
Business Analyst,Senior Business Analyst,Synechron,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst [T500-14465],Talent500,"Bengaluru, Karnataka, India",3 weeks ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Functional CRM/ Business Analyst,LTIMindtree,"Bangalore Urban, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Guest Support [T500-14443],lululemon,"Bengaluru, Karnataka, India",2 weeks ago
Business Analyst,Senior Business Analyst,Gameskraft,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Dataquad Inc.,"Bengaluru North, Karnataka, India",1 week ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Business Analyst,Business Analyst - Calyspo,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",1 month ago
Business Analyst,Business Analyst,Koch,"Bengaluru, Karnataka, India",1 week ago
Data Science,Data Scientist,Flipkart,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Operations Analyst,PhonePe,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Scientist,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Flipkart,"Bengaluru, Karnataka, India",5 days ago
Data Science,Data Scientist,PayPal,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Analyst,Navi,"Bangalore Urban, Karnataka, India",5 days ago
Data Science,Business Analyst,Navi,"Bengaluru, Karnataka, India",1 week ago
Data Science,"Python, SQL",Infosys,"Bengaluru East, Karnataka, India",1 week ago
Data Science,Python Developer,Infosys,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Machine Learning Engineer,Deloitte,"Bengaluru, Karnataka, India",1 month ago
Data Science,Data Science Specialist,Deloitte,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Navi,"Bangalore Urban, Karnataka, India",1 month ago
Data Science,"Data Analyst, Advanced Analytics",eBay,"Bengaluru, Karnataka, India",4 days ago
Data Science,"Data Analytics Apprenticeship, March 2025",Google,"Bengaluru, Karnataka, India",4 weeks ago
Data Science,Data Scientist,Visa,Greater Bengaluru Area,3 weeks ago
Data Science,Data Scientist - Fixed Income,LTIMindtree,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Marketing Analyst,Ola,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Business Analyst,Livspace,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Scientist,Volvo Group,"Bengaluru, Karnataka, India",1 week ago
Data Science,Data Scientist,HCLTech,"Bangalore Urban, Karnataka, India",1 day ago
Data Science,Data Scientists,Virtusa,"Bangalore Urban, Karnataka, India",2 weeks ago
Data Science,Business Data Analyst,sugar.fit,"Bangalore Urban, Karnataka, India",4 days ago
Data Science,Product Data Scientist,PayPal,"Bengaluru, Karnataka, India",5 days ago
Data Science,Business Analyst,Kantar,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Associate Product Manager,JUSPAY,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,AI/ML,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Python ML Developer,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Data Scientist,ExxonMobil,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Analyst,PeopleLogic,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,"Software Engineer, Machine Learning",LinkedIn,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,"Software Engineer, University Graduate, 2025",Google,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,ML Engineer,EXL,"Bangalore Urban, Karnataka, India",4 weeks ago
Data Science,Data Scientist - I,Zeta,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Analyst,Focus Edumatics Pvt Ltd,"Bangalore Urban, Karnataka, India",5 days ago
Data Science,Data Science,Fractal,"Bengaluru, Karnataka, India",1 week ago
Data Science,"Business Data Scientist, ML Engineering",Google,"Bengaluru, Karnataka, India",3 days ago
Data Science,Data Scientist (Saudi Arabia- Tabuk),Eram Talent,"Bengaluru, Karnataka, India",1 month ago
Data Science,Data Scientist,MResult,"Bengaluru, Karnataka, India",4 days ago
Data Science,Applied Data Scientist/ ML Engineer (Python/SQL)- 3-6 yrs.,SAP,"Bengaluru East, Karnataka, India",1 week ago
Data Science,Industrial Trainee - Testing & Monitoring,PhonePe,"Bangalore Urban, Karnataka, India",4 days ago
Data Science,Machine Learning Engineer,HCLTech,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Management Trainee – Data Scientist-COR029061,Genpact,"Bengaluru, Karnataka, India",1 week ago
Data Science,Data Scientist,EPAM Systems,"Bangalore Urban, Karnataka, India",3 weeks ago
Data Science,Lead Data Scientist,MakeMyTrip,"Bengaluru, Karnataka, India",1 week ago
Data Science,Data Scientist,Tesco Technology,"Bengaluru, Karnataka, India",1 month ago
Data Science,"Manager, Quality Assurance- Home",Walmart,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,AI/ML Engineer,Whatfix,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Scientist,HCLTech,"Bengaluru, Karnataka, India",4 days ago
Data Science,Data Scientist,IBM,"Bengaluru East, Karnataka, India",3 days ago
Data Science,Python Developer,Persistent Systems,"Bengaluru, Karnataka, India",4 days ago
Data Science,Data Scientist,Hexaware Technologies,"Bengaluru, Karnataka, India",1 week ago
Data Science,Applied Scientist,Microsoft,"Bengaluru, Karnataka, India",5 days ago
Data Science,Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Flipkart,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Operations Analyst,PhonePe,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Scientist,Wipro,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Flipkart,"Bengaluru, Karnataka, India",5 days ago
Data Science,Data Scientist,PayPal,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Analyst,Navi,"Bangalore Urban, Karnataka, India",5 days ago
Data Science,Business Analyst,Navi,"Bengaluru, Karnataka, India",1 week ago
Data Science,"Python, SQL",Infosys,"Bengaluru East, Karnataka, India",1 week ago
Data Science,Python Developer,Infosys,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Machine Learning Engineer,Deloitte,"Bengaluru, Karnataka, India",1 month ago
Data Science,Data Science Specialist,Deloitte,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Scientist,Navi,"Bangalore Urban, Karnataka, India",1 month ago
Data Science,"Data Analyst, Advanced Analytics",eBay,"Bengaluru, Karnataka, India",4 days ago
Data Science,"Data Analytics Apprenticeship, March 2025",Google,"Bengaluru, Karnataka, India",4 weeks ago
Data Science,Data Scientist,Visa,Greater Bengaluru Area,3 weeks ago
Data Science,Data Scientist - Fixed Income,LTIMindtree,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Marketing Analyst,Ola,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Business Analyst,Livspace,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Scientist,Volvo Group,"Bengaluru, Karnataka, India",1 week ago
Data Science,Data Scientist,HCLTech,"Bangalore Urban, Karnataka, India",1 day ago
Data Science,Data Scientists,Virtusa,"Bangalore Urban, Karnataka, India",2 weeks ago
Data Science,Business Data Analyst,sugar.fit,"Bangalore Urban, Karnataka, India",4 days ago
Data Science,Product Data Scientist,PayPal,"Bengaluru, Karnataka, India",5 days ago
Data Science,Business Analyst,Kantar,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Associate Product Manager,JUSPAY,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,AI/ML,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Python ML Developer,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago
Data Science,Data Scientist,ExxonMobil,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,Data Analyst,PeopleLogic,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,"Software Engineer, Machine Learning",LinkedIn,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,"Software Engineer, University Graduate, 2025",Google,"Bengaluru, Karnataka, India",2 weeks ago
Data Science,ML Engineer,EXL,"Bangalore Urban, Karnataka, India",4 weeks ago
Data Science,Data Scientist - I,Zeta,"Bengaluru, Karnataka, India",3 weeks ago
Data Science,Data Analyst,Focus Edumatics Pvt Ltd,"Bangalore Urban, Karnataka, India",5 days ago
Data Science,Data Science,Fractal,"Bengaluru, Karnataka, India",1 week ago
Data Science,"Business Data Scientist, ML Engineering",Google,"Bengaluru, Karnataka, India",3 days ago
Data Science,Data Scientist (Saudi Arabia- Tabuk),Eram Talent,"Bengaluru, Karnataka, India",1 month ago
